Card,Transaction Date,Post Date,Description,Category,Type,Amount,Memo
0850,11/30/2018,12/02/2018,AMZN Mktp US,Merchandise & Inventory,Return,7.45,
0850,12/01/2018,12/02/2018,GOOGLE *GSUITE_entrepi,Professional Services,Sale,-5.00,
0850,12/01/2018,12/02/2018,MCDONALD'S F11829,Food & Drink,Sale,-2.13,
0850,11/30/2018,12/02/2018,DIGITALOCEAN.COM,Office & Shipping,Sale,-6.00,
0850,12/01/2018,12/02/2018,CIGNA PHARM OF PA,Health & Wellness,Sale,-1.09,
0850,12/01/2018,12/02/2018,HUNTERDON COUNTY YMCA,Gifts & Donations,Sale,-86.00,
0850,12/01/2018,12/02/2018,MCDONALD'S F11829,Food & Drink,Sale,-15.45,
0850,11/28/2018,11/29/2018,AMZN Mktp US*M075L6ES0,Merchandise & Inventory,Sale,-13.85,
0850,11/29/2018,11/29/2018,COMCAST,Bills & Utilities,Sale,-78.23,
0850,11/27/2018,11/29/2018,STARBUCKS STORE 16676,Food & Drink,Sale,-3.10,
0850,11/29/2018,11/29/2018,AMZN Mktp US*M02P46P10,Merchandise & Inventory,Sale,-13.85,
0850,11/28/2018,11/29/2018,WAL-MART #2582,Merchandise & Inventory,Sale,-29.43,
0850,11/27/2018,11/29/2018,STARBUCKS STORE 07444,Food & Drink,Sale,-2.34,
0850,11/27/2018,11/28/2018,BESTBUYCOM805587524445,Merchandise & Inventory,Sale,-319.92,
0850,11/27/2018,11/28/2018,VIDA SHOES INTERNATIONAL,Merchandise & Inventory,Sale,-49.80,
0850,11/27/2018,11/28/2018,RCN*CABLE PHONE INTERN,Bills & Utilities,Sale,-54.95,
0850,11/26/2018,11/27/2018,CGI*GREAT BIG CANVAS,Merchandise & Inventory,Sale,-182.26,
0850,11/26/2018,11/26/2018,AUTOMATIC PAYMENT - THANK,,Payment,4315.36,
0850,11/25/2018,11/26/2018,WALMART.COM,Merchandise & Inventory,Sale,-115.11,
0850,11/23/2018,11/25/2018,AMZN Mktp US*M07VP94V0,Merchandise & Inventory,Sale,-266.55,
0850,11/24/2018,11/25/2018,LOREAL *LANCOME ECOMM,Merchandise & Inventory,Sale,-187.66,
0850,11/24/2018,11/25/2018,Microsoft *Store,Bills & Utilities,Sale,-457.42,
0850,11/24/2018,11/25/2018,MADEWELL.COM,Merchandise & Inventory,Sale,-171.00,
0850,11/24/2018,11/25/2018,GYMBOREE.COM 500,Merchandise & Inventory,Sale,-84.53,
0850,11/24/2018,11/25/2018,AMZN Mktp US*M014C7ND0,Merchandise & Inventory,Sale,-180.16,
0850,11/24/2018,11/25/2018,WWW COSTCO COM,Merchandise & Inventory,Sale,-15.99,
0850,11/23/2018,11/25/2018,WALMART.COM,Merchandise & Inventory,Sale,-8.22,
0850,11/23/2018,11/25/2018,AMZN Mktp US*M09NK84Q0,Merchandise & Inventory,Sale,-342.26,
0850,11/24/2018,11/25/2018,WWW COSTCO COM,Merchandise & Inventory,Sale,-59.98,
0850,11/23/2018,11/25/2018,Amazon.com*M08NC14Q0,Merchandise & Inventory,Sale,-265.50,
0850,11/23/2018,11/23/2018,AMZNFreeTime*M03NZ3LY1,Merchandise & Inventory,Sale,-10.65,
0850,11/21/2018,11/22/2018,Wikimedia8776009454,Gifts & Donations,Sale,-30.00,
0850,11/21/2018,11/22/2018,ITALKBB,Bills & Utilities,Sale,-11.97,
0850,11/20/2018,11/21/2018,CROCS INC CROCS.COM,Merchandise & Inventory,Sale,-44.97,
0850,11/19/2018,11/20/2018,TRANS BRIDGE TOURS C,Travel,Sale,-157.00,
0850,11/19/2018,11/20/2018,Amazon.com*M824B7RD2,Merchandise & Inventory,Sale,-351.85,
0850,11/18/2018,11/20/2018,EXXONMOBIL    47983937,Gas,Sale,-33.01,
0850,11/19/2018,11/19/2018,Amazon.com*M80JR4YO1,Merchandise & Inventory,Sale,-13.44,
0850,11/18/2018,11/19/2018,USA*EAT RIGHT VENDING,Food & Drink,Sale,-1.50,
0850,11/18/2018,11/19/2018,HUNTERDON COUNTY YMCA,Gifts & Donations,Sale,-43.00,
0850,11/14/2018,11/16/2018,STARBUCKS STORE 16676,Food & Drink,Sale,-2.34,
0850,11/15/2018,11/16/2018,Amazon.com*M81N88UG0,Merchandise & Inventory,Sale,-39.27,
0850,11/13/2018,11/14/2018,WWW COSTCO COM,Merchandise & Inventory,Sale,-629.08,
0850,11/13/2018,11/14/2018,AMZN Mktp US*M89M40KU1,Merchandise & Inventory,Sale,-41.65,
0850,11/12/2018,11/13/2018,99 RANCH #1601,Food & Drink,Sale,-109.94,
0850,11/11/2018,11/12/2018,MADEWELL #292,Merchandise & Inventory,Return,59.99,
0850,11/11/2018,11/12/2018,J. CREW #717,Merchandise & Inventory,Return,50.99,
0850,11/11/2018,11/12/2018,USA*EAT RIGHT VENDING,Food & Drink,Sale,-2.00,
0850,11/10/2018,11/11/2018,Amazon.com*M80P06642,Merchandise & Inventory,Sale,-109.98,
0850,11/10/2018,11/11/2018,APL* ITUNES.COM/BILL,Merchandise & Inventory,Sale,-10.00,
0850,11/09/2018,11/11/2018,HUNTERDON COUNTY YMCA,Gifts & Donations,Sale,-172.00,
0850,11/10/2018,11/11/2018,AMZN Mktp US*M89CS0DL1,Merchandise & Inventory,Sale,-349.99,
0850,11/09/2018,11/11/2018,Amazon.com*M847E96X0,Merchandise & Inventory,Sale,-7.45,
0850,11/08/2018,11/09/2018,J CREW,Merchandise & Inventory,Sale,-50.99,
0850,11/08/2018,11/09/2018,ELIZABETHTOWN GAS BILL,Bills & Utilities,Sale,-19.26,
0850,11/09/2018,11/09/2018,AMZN Mktp US*M88769QU0,Merchandise & Inventory,Sale,-4.89,
0850,11/08/2018,11/09/2018,HUNTERDON ART MUSEUM,Education,Sale,-125.00,
0850,11/07/2018,11/08/2018,Amazon.com*M88W628U0,Merchandise & Inventory,Sale,-8.95,
0850,11/06/2018,11/07/2018,Scholastic Reading Club,Education,Sale,-34.00,
0850,11/06/2018,11/07/2018,MADEWELL.COM,Merchandise & Inventory,Sale,-134.97,
0850,11/06/2018,11/07/2018,4TE*THE PORTASOFT COMPANY,Repair & Maintenance,Sale,-28.79,
0850,11/05/2018,11/06/2018,WWW COSTCO COM,Merchandise & Inventory,Sale,-14.99,
0850,11/05/2018,11/06/2018,CRICKET WIRELESS,Bills & Utilities,Sale,-100.00,
