"Nov 24, 2020","ESSEX COUNTY ATTRACTIO NEWARK NJ","62","","Entertainment"
"Feb 15, 2020","CRAYOLA EXPERIENCE EASTON PA","4.24","","Entertainment"
"Jan 01, 2020","CRAYOLA EXPERIENCE EASTON PA","3.17","","Entertainment"
"Dec 16, 2020","SMILE WORKS PEDIATRIC BASKING RID NJ","227.2","","Health Care"
"Dec 14, 2020","WALGREENS #19955 BASKING RIDGE NJ","","-8.31","Health Care"
"Dec 06, 2020","WALGREENS #19955 BASKING RIDGE NJ","47.09","","Health Care"
"Nov 23, 2020","CHOP PHYSICIANS ONLINE PHILADELPHIA PA","40","","Health Care"
"Nov 17, 2020","INTERNAL MEDICINE ASSO HILLSBOROUGH NJ","25","","Health Care"
"Oct 04, 2020","WALGREENS #19955 BASKING RIDGE NJ","9.36","","Health Care"
"Jul 07, 2020","UNIVERSITY CHILDRENS E 908-2039009 NJ","40","","Health Care"
"Jun 28, 2020","WALGREENS #19955 BASKING RIDGE NJ","18.21","","Health Care"
"Jun 04, 2020","SQ *HILLS PEDIATRICS Hillsborough NJ","100","","Health Care"
"Mar 11, 2020","INTERNAL MEDICINE ASSO HILLSBOROUGH NJ","25","","Health Care"
"Mar 04, 2020","SOMERSET VALLEY URGENT BEDMINSTER NJ","60","","Health Care"
"Feb 22, 2020","SOMERSET PEDIATRIC GRO RARITAN NJ","25","","Health Care"
"Feb 08, 2020","NEWYORK PRESBYTERIAN Q QUEENS","2","","Health Care"
"Dec 31, 2020","HAAGEN DAZS 1150 BRIDGEWATER NJ","13.01","","Merchandise"
"Dec 30, 2020","D J*WALL-ST-JOURNAL 8005687625 MA","12","","Merchandise"
"Dec 26, 2020","TRADER JOE'S #614 BRIDGEWATER NJ","51.7","","Merchandise"
"Dec 19, 2020","TRADER JOE'S #614 BRIDGEWATER NJ","20.22","","Merchandise"
"Dec 12, 2020","MICHAELS STORES 9938 BRIDGEWATER NJ","11.72","","Merchandise"
"Dec 05, 2020","TRADER JOE'S #614 BRIDGEWATER NJ","38.21","","Merchandise"
"Dec 03, 2020","TJ MAXX #405 CLINTON NJ","25.56","","Merchandise"
"Dec 03, 2020","SHOPRITE CLINTON S1 CLINTON NJ","55.75","","Merchandise"
"Nov 23, 2020","TRADER JOE'S #614 BRIDGEWATER NJ","48.19","","Merchandise"
"Nov 23, 2020","99 RANCH #1601 EDISON NJ","232.59","","Merchandise"
"Nov 23, 2020","THE HOME DEPOT #0947 BRIDGEWATER NJ","21.76","","Merchandise"
"Nov 15, 2020","TRADER JOE'S #614 BRIDGEWATER NJ","52.36","","Merchandise"
"Nov 05, 2020","TJ MAXX #405 CLINTON NJ","24.49","","Merchandise"
"Nov 01, 2020","TRADER JOE'S #614 BRIDGEWATER NJ","40.59","","Merchandise"
"Oct 29, 2020","TJ MAXX #405 CLINTON NJ","26.31","","Merchandise"
"Oct 29, 2020","SHOPRITE CLINTON S1 CLINTON NJ","49.73","","Merchandise"
"Oct 25, 2020","TRADER JOE'S #614 BRIDGEWATER NJ","4.25","","Merchandise"
"Oct 25, 2020","TRADER JOE'S #614 BRIDGEWATER NJ","34.43","","Merchandise"
"Oct 22, 2020","TJ MAXX #405 CLINTON NJ","61.29","","Merchandise"
"Oct 18, 2020","TRADER JOE'S #614 BRIDGEWATER NJ","40.56","","Merchandise"
"Oct 15, 2020","TJ MAXX #405 CLINTON NJ","36.23","","Merchandise"
"Oct 12, 2020","TJ MAXX #870 BRIDGEWATER NJ","87.94","","Merchandise"
"Oct 11, 2020","TRADER JOE'S #614 BRIDGEWATER NJ","51.81","","Merchandise"
"Oct 03, 2020","TRADER JOE'S #614 BRIDGEWATER NJ","37.19","","Merchandise"
"Sep 27, 2020","HAAGEN DAZS 1150 BRIDGEWATER NJ","9","","Merchandise"
"Sep 27, 2020","UNIQLO BRIDGEWATER #39 BRIDGEWATER NJ","29.9","","Merchandise"
"Sep 26, 2020","TRADER JOE'S #614 BRIDGEWATER NJ","24.97","","Merchandise"
"Sep 20, 2020","TRADER JOE'S #614 BRIDGEWATER NJ","35.66","","Merchandise"
"Sep 05, 2020","TRADER JOE'S #614 BRIDGEWATER NJ","67.95","","Merchandise"
"Aug 29, 2020","TRADER JOE'S #614 BRIDGEWATER NJ","32.22","","Merchandise"
"Aug 27, 2020","GAP US 662 BRIDGEWATER NJ","5.98","","Merchandise"
"Aug 27, 2020","GAP US 662 BRIDGEWATER NJ","11.97","","Merchandise"
"Aug 27, 2020","LOFT 1920 BRIDGEWATER BRIDGEWATER NJ","52","","Merchandise"
"Aug 23, 2020","AFM OF PISCATAWAY PISCATAWAY NJ","89.64","","Merchandise"
"Aug 16, 2020","TRADER JOE'S #614 BRIDGEWATER NJ","20.26","","Merchandise"
"Aug 15, 2020","AFM OF PISCATAWAY PISCATAWAY NJ","97.55","","Merchandise"
"Aug 10, 2020","DSW. 866-3797463 OH","37.93","","Merchandise"
"Aug 09, 2020","TRADER JOE'S #614 BRIDGEWATER NJ","42.72","","Merchandise"
"Aug 02, 2020","TRADER JOE'S #614 BRIDGEWATER NJ","70.54","","Merchandise"
"Aug 01, 2020","GREAT WALL SUPERMARKET FLUSHING NY","52.74","","Merchandise"
"Jul 26, 2020","TRADER JOE'S #614 BRIDGEWATER NJ","57.61","","Merchandise"
"Jul 23, 2020","KINGS SUPERMKT BEDMINS BEDMINSTER NJ","47","","Merchandise"
"Jul 19, 2020","TRADER JOE'S #614 BRIDGEWATER NJ","60.43","","Merchandise"
