Card,Transaction Date,Post Date,Description,Category,Type,Amount,Memo
0850,11/25/2019,11/26/2019,PAYNOW *FIRST ENERGY COR,Bills & Utilities,Sale,-91.87,
0850,11/24/2019,11/25/2019,NEW JERSEY E-ZPASS,Travel,Sale,-25.00,
0850,11/23/2019,11/24/2019,LOTTE PLAZA,Food & Drink,Sale,-94.87,
0850,11/23/2019,11/24/2019,NEW JERSEY E-ZPASS,Travel,Sale,-25.00,
0850,11/23/2019,11/24/2019,HAAGEN DAZS #545,Food & Drink,Sale,-13.90,
0850,11/22/2019,11/24/2019,AMZN Mktp US*Z880S8YM3,Merchandise & Inventory,Sale,-28.78,
0850,11/22/2019,11/24/2019,USA*SNACK SODA VENDING,Food & Drink,Sale,-1.60,
0850,11/23/2019,11/24/2019,WALGREENS #19955,Health & Wellness,Sale,-1.89,
0850,11/22/2019,11/24/2019,61647 - NY METHODIST HOSP,Travel,Sale,-15.00,
0850,11/20/2019,11/22/2019,STARBUCKS STORE 07670,Food & Drink,Sale,-2.56,
0850,11/20/2019,11/22/2019,STARBUCKS STORE 16676,Food & Drink,Sale,-3.21,
0850,11/21/2019,11/22/2019,ITALKBB,Bills & Utilities,Sale,-12.27,
0850,11/20/2019,11/21/2019,NJT PABT          5701,Travel,Sale,-13.75,
0850,11/20/2019,11/21/2019,CVS/PHARMACY #11059,Health & Wellness,Sale,-2.65,
0850,11/20/2019,11/21/2019,NJ TRANSIT LYONS,Travel,Sale,-1.25,
0850,11/20/2019,11/20/2019,AMZN Mktp US*9Z2OG99D3,Merchandise & Inventory,Sale,-19.18,
0850,11/18/2019,11/20/2019,CIGNAHOMEDELVY PHARM,Health & Wellness,Sale,-15.76,
0850,11/17/2019,11/18/2019,MACYS  BRIDGEWATER,Merchandise & Inventory,Return,119.16,
0850,11/16/2019,11/17/2019,AMZN Mktp US*KX8PI2FL3,Merchandise & Inventory,Sale,-17.00,
0850,11/15/2019,11/17/2019,UNIQLO ECOMMERCE,Merchandise & Inventory,Sale,-67.80,
0850,11/16/2019,11/17/2019,AMZN Mktp US*S256W3B53,Merchandise & Inventory,Sale,-12.78,
0850,11/15/2019,11/17/2019,AMZN Mktp US*646F92NI3,Merchandise & Inventory,Sale,-641.87,
0850,11/15/2019,11/17/2019,NETFLIX.COM,Bills & Utilities,Sale,-17.05,
0850,11/13/2019,11/15/2019,EXXONMOBIL    47976279,Gas,Sale,-42.14,
0850,11/14/2019,11/15/2019,NEW JERSEY E-ZPASS,Travel,Sale,-25.00,
0850,11/14/2019,11/15/2019,HUMBLEBUNDLE.COM,Merchandise & Inventory,Return,29.99,
0850,11/14/2019,11/14/2019,Amazon.com*QI8QV0R23,Merchandise & Inventory,Sale,-85.29,
0850,11/13/2019,11/14/2019,DRI*JabraBlueParrott,Merchandise & Inventory,Sale,-76.76,
0850,11/13/2019,11/14/2019,NJMVC SOMERVILLE,Bills & Utilities,Sale,-81.63,
0850,11/12/2019,11/13/2019,CHOP MONTHLY PARKING,Health & Wellness,Sale,-4.00,
0850,11/12/2019,11/13/2019,BGR OPHTHALMOLOGY,Health & Wellness,Sale,-40.00,
0850,11/11/2019,11/13/2019,THE HOME DEPOT 962,Repair & Maintenance,Sale,-1.95,
0850,11/12/2019,11/13/2019,HUMBLEBUNDLE.COM,Merchandise & Inventory,Sale,-29.99,
0850,11/12/2019,11/13/2019,WALGREENS #19955,Health & Wellness,Sale,-0.70,
0850,11/12/2019,11/13/2019,SQ *COSI - FOODA,Food & Drink,Sale,-27.86,
0850,11/10/2019,11/12/2019,SARKU JAPAN 085,Food & Drink,Sale,-8.52,
0850,11/10/2019,11/12/2019,SARKU JAPAN SUSHI BAR 241,Food & Drink,Sale,-9.48,
0850,11/10/2019,11/11/2019,UNIQLO BRIDGEWATER #39,Merchandise & Inventory,Return,79.70,
0850,11/10/2019,11/11/2019,AFM OF PISCATAWAY,Food & Drink,Sale,-61.69,
0850,11/10/2019,11/11/2019,PANERA BREAD #601492 P,Food & Drink,Sale,-3.44,
0850,11/09/2019,11/11/2019,THE HOME DEPOT 962,Repair & Maintenance,Sale,-1.02,
0850,11/06/2019,11/08/2019,MACYS   .COM,Merchandise & Inventory,Sale,-204.56,
0850,11/07/2019,11/08/2019,AMZN Mktp US*YO6022LL3,Merchandise & Inventory,Sale,-11.72,
0850,11/06/2019,11/08/2019,NEW JERSEY E-ZPASS,Travel,Sale,-25.00,
0850,11/05/2019,11/06/2019,ERIC MARK ESQ,Professional Services,Sale,-7.00,
0850,11/06/2019,11/06/2019,OPTIMUM 7875,Bills & Utilities,Sale,-68.49,
0850,11/05/2019,11/06/2019,BP#3011590FOUR TECH SRV,Gas,Sale,-36.89,
0850,11/05/2019,11/06/2019,CRICKET WIRELESS,Bills & Utilities,Sale,-100.00,
0850,11/05/2019,11/06/2019,AMZN Mktp US*CP79733W3,Merchandise & Inventory,Sale,-5.08,
0850,11/05/2019,11/06/2019,USA SPORT GROUP,Entertainment,Sale,-70.00,
0850,11/05/2019,11/06/2019,RPY*UNIVERSITY RADIOLOGY,Health & Wellness,Sale,-13.49,
0850,11/04/2019,11/05/2019,OPC*NJM Insurance,Bills & Utilities,Sale,-144.00,
0850,11/04/2019,11/05/2019,SEARS WARRANTY,Bills & Utilities,Sale,-53.30,
0850,11/04/2019,11/05/2019,UNIQLO ECOMMERCE,Merchandise & Inventory,Sale,-121.20,
0850,11/03/2019,11/04/2019,PANERA BREAD #601774,Food & Drink,Sale,-29.80,
0850,11/03/2019,11/04/2019,US Mobile,Bills & Utilities,Sale,-8.57,
0850,11/03/2019,11/04/2019,ITALKBB,Bills & Utilities,Sale,-12.82,
0850,11/03/2019,11/04/2019,KAM MAN SUPERMARKET,Food & Drink,Sale,-133.17,
0850,11/02/2019,11/03/2019,GOOGLE *GSUITE_entrepi,Professional Services,Sale,-6.00,
0850,11/01/2019,11/03/2019,STARBUCKS STORE 07851,Food & Drink,Sale,-2.34,
0850,11/03/2019,11/03/2019,Amazon web services,Office & Shipping,Sale,-0.80,
0850,11/01/2019,11/03/2019,LYONS              067,Travel,Sale,-28.00,
0850,11/01/2019,11/03/2019,ICP*Little Dolphins Swim,Education,Sale,-83.00,
0850,11/02/2019,11/03/2019,HIS*HISCOX INC,Bills & Utilities,Sale,-36.88,
0850,11/01/2019,11/03/2019,DIGITALOCEAN.COM,Office & Shipping,Sale,-6.00,
0850,10/31/2019,11/01/2019,Amazon.com*WR2I23ZP3,Merchandise & Inventory,Sale,-362.47,
0850,10/30/2019,10/31/2019,UNIQLO ECOMMERCE,Merchandise & Inventory,Sale,-94.70,
0850,10/30/2019,10/31/2019,ICP*Little Dolphins Swim,Education,Sale,-83.00,
0850,10/29/2019,10/30/2019,HUNTERDON PRIMARY C,Health & Wellness,Sale,-25.00,
0850,10/28/2019,10/29/2019,RCN*CABLE PHONE INTERN,Bills & Utilities,Sale,-51.65,
0850,10/28/2019,10/29/2019,WALGREENS #19955,Health & Wellness,Sale,-9.49,
0850,10/27/2019,10/28/2019,Amazon.com*F44S661J3,Merchandise & Inventory,Sale,-12.77,
0850,10/26/2019,10/28/2019,SMART LUNCHES INC.,Food & Drink,Sale,-104.89,
0850,10/26/2019,10/27/2019,SHOPRITE BRNARDSVLLES1,Food & Drink,Sale,-64.26,
0850,10/25/2019,10/27/2019,Amazon.com*GR3TW4LQ3,Merchandise & Inventory,Sale,-12.77,
0850,10/26/2019,10/27/2019,Amazon Music*O61FE5RJ3,Merchandise & Inventory,Sale,-4.25,
0850,10/25/2019,10/27/2019,NEW JERSEY E-ZPASS,Travel,Sale,-25.00,
