Cleared,7/4/19,"HAAGEN DAZS 1150       BRIDGEWATER   NJ 
",9.75,,Merchandise
Cleared,7/4/19,"UNIQLO BRIDGEWATER #39 BRIDGEWATER   NJ 
",11.8,,Merchandise
Cleared,7/2/19,"aliexpress             San Mateo     CA 
",11.75,,Merchandise
Cleared,6/30/19,"99 RANCH #1601         EDISON        NJ 
",161.73,,Merchandise
Cleared,6/29/19,"TJ MAXX #405           CLINTON       NJ 
",7.99,,Merchandise
Cleared,6/29/19,"SHOPRITE CLINTON S1    CLINTON       NJ 
",123.58,,Merchandise
Cleared,6/26/19,"SHOPRITE CLINTON S1    CLINTON       NJ 
",50.78,,Merchandise
Cleared,6/23/19,"AFM OF PISCATAWAY      PISCATAWAY    NJ 
",3.99,,Merchandise
Cleared,6/23/19,"AFM OF PISCATAWAY      PISCATAWAY    NJ 
",107.75,,Merchandise
Cleared,6/22/19,"HAAGEN DAZS 1150       BRIDGEWATER   NJ 
",8,,Merchandise
Cleared,6/22/19,"LUSH BRIDGEWTR CMN (72 BRIDGEWATER   NJ 
",15.94,,Merchandise
Cleared,6/22/19,"TJ MAXX #405           CLINTON       NJ 
",42.24,,Merchandise
Cleared,6/22/19,"SHOPRITE CLINTON S1    CLINTON       NJ 
",65.4,,Merchandise
Cleared,6/16/19,"99 RANCH #1601         EDISON        NJ 
",140.73,,Merchandise
Cleared,6/15/19,"WAL-MART #2582         CLINTON       NJ 
",19.74,,Merchandise
Cleared,6/15/19,"SHOPRITE CLINTON S1    CLINTON       NJ 
",59.72,,Merchandise
Cleared,6/8/19,"BOURBON ST WINE & SPIR CLINTON       NJ 
",49.02,,Merchandise
Cleared,6/8/19,"SHOPRITE CLINTON S1    CLINTON       NJ 
",64.85,,Merchandise
Cleared,6/2/19,"99 RANCH #1601         EDISON        NJ 
",0.8,,Merchandise
Cleared,6/2/19,"UNIQLO BRIDGEWATER #39 BRIDGEWATER   NJ 
",19.9,,Merchandise
Cleared,6/2/19,"99 RANCH #1601         EDISON        NJ 
",120.02,,Merchandise
Cleared,5/31/19,"WAL-MART #2582         CLINTON       NJ 
",12.4,,Merchandise
Cleared,5/24/19,"TARGET        00012245 BRIDGEWATER   NJ 
",30.75,,Merchandise
Cleared,5/19/19,"SHOPRITE OLD POST S1   EDISON        NJ 
",50.37,,Merchandise
Cleared,5/19/19,"99 RANCH #1601         EDISON        NJ 
",152.74,,Merchandise
Cleared,5/18/19,"HAAGEN DAZS 1150       BRIDGEWATER   NJ 
",8,,Merchandise
Cleared,5/12/19,"H MART EDISON          EDISON        NJ 
",95.13,,Merchandise
Cleared,5/12/19,"TOUS LES JOURS         EDISON        NJ 
",7.25,,Merchandise
Cleared,5/11/19,"WAL-MART #2582         CLINTON       NJ 
",30.94,,Merchandise
Cleared,5/11/19,"SHOPRITE CLINTON S1    CLINTON       NJ 
",93.66,,Merchandise
Cleared,5/5/19,"99 RANCH #1601         EDISON        NJ 
",2.8,,Merchandise
Cleared,5/5/19,"99 RANCH #1601         EDISON        NJ 
",102.58,,Merchandise
Cleared,5/4/19,"SHOPRITE CLINTON S1    CLINTON       NJ 
",112.06,,Merchandise
Cleared,4/13/19,"WAL-MART #2582         CLINTON       NJ 
",0.78,,Merchandise
